Sample ID,Season,E.coli CFU/100mL,Coliform CFU/100mL,Mycobacterium CFU/100mL,DOC(mg/L),UV254(l/cm),SUVA(L/mg-m),TDN(mg/L,Location,Describtion,year,Month,Location N,Alt ID,Sub Check,Season per place
140111,Winter,,,,,,,,R11,CAP Canal at Cross-connect,14,1,11,140111,0,W R11
140125,Winter,,,,,,,,R25,Verde River @ Beeline,14,1,25,140125,0,W R25
140156,Winter,,,,2.49,0.054,2.17,0.66,56th,AZ Canal at 56th St.,14,1,56,140156,0,W 56th
140211,Winter,,,,2.87,0.047,1.64,0.512,R11,CAP Canal at Cross-connect,14,2,11,140211,0,W R11
140225,Winter,,,,3.43,0.079,2.3,0.458,R25,Verde River @ Beeline,14,2,25,140225,0,W R25
140256,Winter,,,,,,,,56th,AZ Canal at 56th St.,14,2,56,140256,0,W 56th
140311,Winter,,,,2.9,0.054,1.86,0.499,R11,CAP Canal at Cross-connect,14,3,11,140311,0,W R11
140325,Winter,,,,3.41,0.086,2.52,0.12,R25,Verde River @ Beeline,14,3,25,140325,0,W R25
140356,Winter,,,,7.52,0.402,5.35,1.069,56th,AZ Canal at 56th St.,14,3,56,140356,0,W 56th
140411,Spring,,,,2.62,0.044,1.68,0.499,R11,CAP Canal at Cross-connect,14,4,11,140411,0,S R11
140425,Spring,,,,3.31,0.071,2.15,0.296,R25,Verde River @ Beeline,14,4,25,140425,0,S R25
140456,Spring,,,,3.02,0.062,2.05,0.423,56th,AZ Canal at 56th St.,14,4,56,140456,0,S 56th
140511,Spring,,,,2.87,0.051,1.78,0.52,R11,CAP Canal at Cross-connect,14,5,11,140511,0,S R11
140525,Spring,,,,2.84,0.063,2.22,0.69,R25,Verde River @ Beeline,14,5,25,140525,0,S R25
140556,Spring,,,,3.33,0.06,1.92,0.55,56th,AZ Canal at 56th St.,14,5,56,140556,0,S 56th
140611,Spring,13,93,,6.1,0.047,0.77,0.347,R11,CAP Canal at Cross-connect,14,6,11,140611,0,S R11
140625,Spring,19,340,,6.9,0.087,1.26,0.632,R25,Verde River @ Beeline,14,6,25,140625,0,S R25
140656,Spring,16,534,,2.5,0.062,2.48,0.386,56th,AZ Canal at 56th St.,14,6,56,140656,0,S 56th
140711,Summer,50,548,,6.1,0.047,0.77,0.25,R11,CAP Canal at Cross-connect,14,7,11,140711,0,S R11
140725,Summer,158,548,,6.9,0.087,1.26,0.29,R25,Verde River @ Beeline,14,7,25,140725,0,S R25
140756,Summer,20,390,,3.02,0.062,2.05,0.244,56th,AZ Canal at 56th St.,14,7,56,140756,0,S 56th
140811,Summer,2,548,,7.93,0.048,0.61,0.269,R11,CAP Canal at Cross-connect,14,8,11,140811,0,S R11
140825,Summer,436,628,,13.6,0.082,0.6,0.36,R25,Verde River @ Beeline,14,8,25,140825,0,S R25
140856,Summer,28,522,,9.53,0.059,0.62,0.293,56th,AZ Canal at 56th St.,14,8,56,140856,0,S 56th
140911,Summer,6,1500,2,3.3,0.053,1.6,0.235,R11,CAP Canal at Cross-connect,14,9,11,140911,0,S R11
140925,Summer,1500,1500,,5.7,0.19,3.3,0.843,R25,Verde River @ Beeline,14,9,25,140925,0,S R25
140956,Summer,260,1500,,3.4,0.065,1.9,0.423,56th,AZ Canal at 56th St.,14,9,56,140956,0,S 56th
141011,Fall,60,364,9,3.4,0.05,1.5,0.304,R11,CAP Canal at Cross-connect,14,10,11,141011,0,F R11
141025,Fall,114,1500,,4,0.12,3,0.422,R25,Verde River @ Beeline,14,10,25,141025,0,F R25
141056,Fall,50,1500,,4.3,0.06,1.4,0.719,56th,AZ Canal at 56th St.,14,10,56,141056,0,F 56th
141111,Fall,19,676,5,3,0.049,1.6,0.292,R11,CAP Canal at Cross-connect,14,11,11,141111,0,F R11
141125,Fall,118,1500,,3,0.087,2.9,0.422,R25,Verde River @ Beeline,14,11,25,141125,0,F R25
141156,Fall,23,1500,,2.8,0.071,2.5,0.531,56th,AZ Canal at 56th St.,14,11,56,141156,0,F 56th
141211,Fall,18,1500,16,2.9,0.045,1.6,0.348,R11,CAP Canal at Cross-connect,14,12,11,141211,0,F R11
141225,Fall,13,1500,15,1.8,0.033,2.7,0.321,R25,Verde River @ Beeline,14,12,25,141225,0,F R25
141256,Fall,5,1500,96,2.4,0.061,2.5,0.557,56th,AZ Canal at 56th St.,14,12,56,141256,0,F 56th
150111,Winter,7,1500,88,2.8,0.04,1.4,0.297,R11,CAP Canal at Cross-connect,15,1,11,150111,0,W R11
150125,Winter,16,1500,100,2.5,0.051,2,0.354,R25,Verde River @ Beeline,15,1,25,150125,0,W R25
150156,Winter,60,478,92,2.4,0.051,2.1,1.045,56th,AZ Canal at 56th St.,15,1,56,150156,0,W 56th
150211,Winter,10,1500,84,2.31,0.045,1.95,,R11,CAP Canal at Cross-connect,15,2,11,150211,0,W R11
150225,Winter,72,1500,15,1.7,0.055,3.3,,R25,Verde River @ Beeline,15,2,25,150225,0,W R25
150256,Winter,,,,1.57,0.068,4.33,,56th,AZ Canal at 56th St.,15,2,56,150256,0,W 56th
150311,Winter,12,596,15,3.7,0.043,1.1,0.442,R11,CAP Canal at Cross-connect,15,3,11,150311,0,W R11
150325,Winter,32,808,15,2.7,0.062,2.3,0.322,R25,Verde River @ Beeline,15,3,25,150325,0,W R25
150356,Winter,,,,3.2,0.051,1.6,0.957,56th,AZ Canal at 56th St.,15,3,56,150356,0,W 56th
150411,Spring,24,1500,15,3.3,0.048,1.4,0.47,R11,CAP Canal at Cross-connect,15,4,11,150411,0,S R11
150425,Spring,256,1500,15,5.3,0.19,3.6,0.366,R25,Verde River @ Beeline,15,4,25,150425,0,S R25
150456,Spring,12,660,,5,0.134,2.7,0.432,56th,AZ Canal at 56th St.,15,4,56,150456,0,S 56th
150511,Spring,28,936,,3.9,0.042,1.1,0.47,R11,CAP Canal at Cross-connect,15,5,11,150511,0,S R11
150525,Spring,380,1500,,7.2,0.193,2.7,0.432,R25,Verde River @ Beeline,15,5,25,150525,0,S R25
150556,Spring,76,1500,,4.9,0.107,2.2,0.599,56th,AZ Canal at 56th St.,15,5,56,150556,0,S 56th
150611,Spring,9,652,2,4.12,0.048,1.17,0.47,R11,CAP Canal at Cross-connect,15,6,11,150611,0,S R11
150625,Spring,48,828,,4.97,0.129,2.59,0.254,R25,Verde River @ Beeline,15,6,25,150625,0,S R25
150656,Spring,32,560,17,4.13,0.072,1.74,0.325,56th,AZ Canal at 56th St.,15,6,56,150656,0,S 56th
150711,Summer,,,,,,,,R11,CAP Canal at Cross-connect,15,7,11,150711,0,S R11
150725,Summer,,,,,,,,R25,Verde River @ Beeline,15,7,25,150725,0,S R25
150756,Summer,16,1500,1,3.86,0.066,1.71,,56th,AZ Canal at 56th St.,15,7,56,150756,0,S 56th
150811,Summer,36,808,3,2.68,0.052,1.94,0.266,R11,CAP Canal at Cross-connect,15,8,11,150811,0,S R11
150825,Summer,132,1500,1,3.55,0.124,3.49,0.397,R25,Verde River @ Beeline,15,8,25,150825,0,S R25
150856,Summer,8,912,4,3.08,0.055,1.79,0.348,56th,AZ Canal at 56th St.,15,8,56,150856,0,S 56th
150911,Summer,4,784,24,2.94,0.049,1.66,0.244,R11,CAP Canal at Cross-connect,15,9,11,150911,0,S R11
150925,Summer,53,1500,5,3.35,0.117,3.49,0.424,R25,Verde River @ Beeline,15,9,25,150925,0,S R25
150956,Summer,16,868,,2.93,0.054,1.85,0.266,56th,AZ Canal at 56th St.,15,9,56,150956,0,S 56th
151011,Fall,4,1500,2,2.75,0.046,1.67,0.321,R11,CAP Canal at Cross-connect,15,10,11,151011,0,F R11
151025,Fall,22,1116,,3.29,0.107,3.25,0.419,R25,Verde River @ Beeline,15,10,25,151025,0,F R25
151056,Fall,14,784,,3.48,0.056,1.61,0.477,56th,AZ Canal at 56th St.,15,10,56,151056,0,F 56th
151111,Fall,4,1116,10,3.26,0.046,1.41,0.305,R11,CAP Canal at Cross-connect,15,11,11,151111,0,F R11
151125,Fall,116,1500,,3.95,0.118,2.99,0.367,R25,Verde River @ Beeline,15,11,25,151125,0,F R25
151156,Fall,16,772,,3.14,0.074,2.36,0.381,56th,AZ Canal at 56th St.,15,11,56,151156,0,F 56th
151211,Fall,,,,,,,,R11,CAP Canal at Cross-connect,15,12,11,151211,0,F R11
151225,Fall,32,1500,,3.3,0.082,2.48,0.318,R25,Verde River @ Beeline,15,12,25,151225,0,F R25
151256,Fall,10,748,18,3.3,0.078,2.36,0.355,56th,AZ Canal at 56th St.,15,12,56,151256,0,F 56th
160111,Winter,89,256,,2.85,0.037,1.3,,R11,CAP Canal at Cross-connect,16,1,11,160111,0,W R11
160125,Winter,37,232,,3.09,0.068,2.2,0.343,R25,Verde River @ Beeline,16,1,25,160125,0,W R25
160156,Winter,6,380,,3.3,0.052,1.58,0.379,56th,AZ Canal at 56th St.,16,1,56,160156,0,W 56th
160211,Winter,,,,,,,,R11,CAP Canal at Cross-connect,16,2,11,160211,0,W R11
160225,Winter,70,152,1,2.14,0.073,3.41,0.345,R25,Verde River @ Beeline,16,2,25,160225,0,W R25
160256,Winter,6,452,0,,,,,56th,AZ Canal at 56th St.,16,2,56,160256,0,W 56th
160311,Winter,6,980,0,2.12,0.044,2.08,,R11,CAP Canal at Cross-connect,16,3,11,160311,0,W R11
160325,Winter,22,648,14,2.27,0.073,3.22,0.266,R25,Verde River @ Beeline,16,3,25,160325,0,W R25
160356,Winter,23,624,4,12.35,0.066,0.53,0.304,56th,AZ Canal at 56th St.,16,3,56,160356,0,W 56th
160411,Spring,1,1500,12,3.06,0.05,1.63,,R11,CAP Canal at Cross-connect,16,4,11,160411,0,S R11
160425,Spring,35,700,,2.95,0.065,2.2,,R25,Verde River @ Beeline,16,4,25,160425,0,S R25
160456,Spring,10,852,6,3.84,0.065,1.69,,56th,AZ Canal at 56th St.,16,4,56,160456,0,S 56th
160511,Spring,9,448,0,4.02,0.046,1.15,,R11,CAP Canal at Cross-connect,16,5,11,160511,0,S R11
160525,Spring,840,308,30,4.26,0.074,1.74,,R25,Verde River @ Beeline,16,5,25,160525,0,S R25
160556,Spring,29,684,4,6.95,0.064,0.92,,56th,AZ Canal at 56th St.,16,5,56,160556,0,S 56th
160611,Spring,17,1300,,2.1,0.047,2.24,,R11,CAP Canal at Cross-connect,16,6,11,160611,0,S R11
160625,Spring,1,1312,,2.32,0.094,4.05,,R25,Verde River @ Beeline,16,6,25,160625,0,S R25
160656,Spring,15,1340,,4.51,0.065,1.44,,56th,AZ Canal at 56th St.,16,6,56,160656,0,S 56th
160711,Summer,,,,,,,,R11,CAP Canal at Cross-connect,16,7,11,160711,0,S R11
160725,Summer,,,,,,,,R25,Verde River @ Beeline,16,7,25,160725,0,S R25
160756,Summer,,,,,,,,56th,AZ Canal at 56th St.,16,7,56,160756,0,S 56th
160811,Summer,,,,,,,,R11,CAP Canal at Cross-connect,16,8,11,160811,0,S R11
160825,Summer,,,,,,,,R25,Verde River @ Beeline,16,8,25,160825,0,S R25
160856,Summer,,,,,,,,56th,AZ Canal at 56th St.,16,8,56,160856,0,S 56th
160911,Summer,23,1500,0,,0.043,,,R11,CAP Canal at Cross-connect,16,9,11,160911,0,S R11
160925,Summer,92,1304,,,0.067,,,R25,Verde River @ Beeline,16,9,25,160925,0,S R25
160956,Summer,6,1168,2,,0.036,,,56th,AZ Canal at 56th St.,16,9,56,160956,0,S 56th
161011,Fall,16,752,2,,0.049,,,R11,CAP Canal at Cross-connect,16,10,11,161011,0,F R11
161025,Fall,28,1168,,,0.069,,,R25,Verde River @ Beeline,16,10,25,161025,0,F R25
161056,Fall,10,1200,2,,0.059,,,56th,AZ Canal at 56th St.,16,10,56,161056,0,F 56th
161111,Fall,1,1288,,,0.061,,,R11,CAP Canal at Cross-connect,16,11,11,161111,0,F R11
161125,Fall,55,952,,,0.064,,,R25,Verde River @ Beeline,16,11,25,161125,0,F R25
161156,Fall,6,872,,,0.058,,,56th,AZ Canal at 56th St.,16,11,56,161156,0,F 56th
161211,Fall,,,0,,,,,R11,CAP Canal at Cross-connect,16,12,11,161211,0,F R11
161225,Fall,,,,,,,,R25,Verde River @ Beeline,16,12,25,161225,0,F R25
161256,Fall,,,,,,,,56th,AZ Canal at 56th St.,16,12,56,161256,0,F 56th
170111,Winter,22,888,0,,0.046,,,R11,CAP Canal at Cross-connect,17,1,11,170111,0,W R11
170125,Winter,41,696,88,,0.065,,,R25,Verde River @ Beeline,17,1,25,170125,0,W R25
170156,Winter,25,744,0,,0.052,,,56th,AZ Canal at 56th St.,17,1,56,170156,0,W 56th
170211,Winter,,,,,,,,R11,CAP Canal at Cross-connect,17,2,11,170211,0,W R11
170225,Winter,19,912,,,0.082,,,R25,Verde River @ Beeline,17,2,25,170225,0,W R25
170256,Winter,36,784,6,,0.07,,,56th,AZ Canal at 56th St.,17,2,56,170256,0,W 56th
170311,Winter,,,,,,,,R11,CAP Canal at Cross-connect,17,3,11,170311,0,W R11
170325,Winter,9,808,23,4.831,0.16,3.291244049,0.443,R25,Verde River @ Beeline,17,3,25,170325,0,W R25
170356,Winter,16,1280,13,4.66,0.135,2.89,0.475,56th,AZ Canal at 56th St.,17,3,56,170356,0,W 56th
170411,Spring,8,1124,6,2.01,0.045,2.24,0.525,R11,CAP Canal at Cross-connect,17,4,11,170411,0,S R11
170425,Spring,12,1304,55,4.1,0.065,1.58,0.41,R25,Verde River @ Beeline,17,4,25,170425,0,S R25
170456,Spring,16,712,29,3.76,0.156,4.15,0.359,56th,AZ Canal at 56th St.,17,4,56,170456,0,S 56th
170511,Spring,12,1344,0,2.07,0.048,2.32,0.451,R11,CAP Canal at Cross-connect,17,5,11,170511,0,S R11
170525,Spring,10,1208,70,3.7,0.185,5,0.367,R25,Verde River @ Beeline,17,5,25,170525,0,S R25
170556,Spring,7,968,83,3.64,0.167,4.59,0.376,56th,AZ Canal at 56th St.,17,5,56,170556,0,S 56th
170611,Spring,10,1400,3,3.16,0.048,1.52,0.422,R11,CAP Canal at Cross-connect,17,6,11,170611,0,S R11
170625,Spring,64,856,50,5.2,0.167,3.21,0.253,R25,Verde River @ Beeline,17,6,25,170625,0,S R25
170656,Spring,8,904,4,4.09,0.09,2.2,0.249,56th,AZ Canal at 56th St.,17,6,56,170656,0,S 56th
170711,Summer,10,744,0,3.28,0.051,1.56,0.385,R11,CAP Canal at Cross-connect,17,7,11,170711,0,S R11
170725,Summer,13,1440,36,4.56,0.123,2.7,0.2,R25,Verde River @ Beeline,17,7,25,170725,0,S R25
170756,Summer,5,1048,35,3.43,0.066,1.92,0.195,56th,AZ Canal at 56th St.,17,7,56,170756,0,S 56th
170811,Summer,26,1176,10,3.29,0.049,1.49,0.34,R11,CAP Canal at Cross-connect,17,8,11,170811,0,S R11
170825,Summer,23,752,12,3.96,0.11,2.78,0.356,R25,Verde River @ Beeline,17,8,25,170825,0,S R25
170856,Summer,7,872,,3.48,0.066,1.9,0.331,56th,AZ Canal at 56th St.,17,8,56,170856,0,S 56th
170911,Summer,9,1500,0,3.23,0.052,1.61,0.325,R11,CAP Canal at Cross-connect,17,9,11,170911,0,S R11
170925,Summer,27,824,6,3.97,0.111,2.8,0.351,R25,Verde River @ Beeline,17,9,25,170925,0,S R25
170956,Summer,9,1448,4,3.73,0.076,2.04,0.277,56th,AZ Canal at 56th St.,17,9,56,170956,0,S 56th
171011,Fall,13,912,0,3.05,0.046,1.51,0.37,R11,CAP Canal at Cross-connect,17,10,11,171011,0,F R11
171025,Fall,30,1088,18,4,0.111,2.78,0.505,R25,Verde River @ Beeline,17,10,25,171025,0,F R25
171056,Fall,27,1168,6,3.07,0.072,2.35,0.323,56th,AZ Canal at 56th St.,17,10,56,171056,0,F 56th
